Price,Area,Location,bhk,Lift,Parking,price_per_sqft
21000000,1050,Andheri East,2,1,1,20000.0
36500000,1950,Andheri East,3,0,0,18717.94871794872
12400000,650,Andheri East,1,0,0,19076.923076923078
17900000,1100,Andheri East,2,0,0,16272.727272727272
11500000,720,Andheri East,1,1,1,15972.222222222223
18000000,900,Andheri East,2,1,0,20000.0
4800000,250,Andheri East,1,1,1,19200.0
10000000,475,Andheri East,1,0,0,21052.63157894737
19800000,1200,Andheri East,2,1,1,16500.0
110000000,3300,Andheri West,4,0,0,33333.333333333336
28500000,997,Andheri West,2,1,1,28585.757271815448
55000000,1950,Andheri West,3,1,1,28205.128205128207
220000000,7600,Andheri West,5,1,0,28947.36842105263
24000000,1000,Andheri West,2,0,1,24000.0
27000000,1361,Andheri West,2,1,0,19838.354151359294
31200000,1470,Andheri West,3,1,0,21224.48979591837
65000000,2450,Andheri West,4,1,1,26530.61224489796
18000000,1006,Andheri West,2,1,1,17892.644135188868
85000000,3733,Andheri West,4,1,1,22769.89016876507
119900000,3140,Andheri West,3,1,1,38184.71337579618
92400000,3080,Andheri West,3,1,1,30000.0
113400000,3780,Andheri West,4,1,1,30000.0
139500000,4650,Andheri West,5,1,1,30000.0
31500000,1470,Andheri West,3,0,0,21428.571428571428
35000000,1600,Andheri West,3,1,1,21875.0
25500000,1400,Andheri West,2,1,1,18214.285714285714
18500000,650,Andheri West,1,0,0,28461.53846153846
20000000,650,Andheri West,2,1,0,30769.23076923077
19700000,800,Andheri West,2,1,1,24625.0
18200000,750,Andheri West,2,1,1,24266.666666666668
17900000,750,Andheri West,2,1,1,23866.666666666668
29000000,1550,Andheri West,3,1,1,18709.677419354837
31000000,1600,Andheri West,3,1,1,19375.0
35000000,1600,Andheri West,3,1,1,21875.0
41500000,1850,Andheri West,3,1,1,22432.432432432433
24000000,960,Andheri West,2,1,0,25000.0
37000000,1600,Andheri West,3,1,0,23125.0
34000000,1166,Andheri West,3,1,1,29159.51972555746
22000000,788,Andheri West,3,0,0,27918.781725888326
22000000,788,Andheri West,3,1,0,27918.781725888326
25000000,790,Andheri West,2,1,1,31645.569620253165
36400000,1193,Andheri West,3,1,1,30511.316010058676
26500000,1250,Andheri West,2,1,0,21200.0
