Price,Area,Location,bhk,Lift,Parking,price_per_sqft,location_n
8500000,550,Andheri East,1,0,0,15454.545454545454,6
9500000,650,Andheri East,1,1,1,14615.384615384615,6
15500000,850,Andheri East,2,1,1,18235.29411764706,6
18500000,1150,Andheri East,2,1,0,16086.95652173913,6
50000000,2500,Andheri East,6,1,0,20000.0,6
16900000,850,Andheri East,2,1,0,19882.352941176472,6
15000000,700,Andheri East,2,0,0,21428.571428571428,6
12500000,802,Andheri East,1,1,0,15586.034912718205,6
14000000,652,Andheri East,1,0,0,21472.39263803681,6
25000000,1350,Andheri East,2,0,0,18518.51851851852,6
14000000,650,Andheri East,1,0,0,21538.46153846154,6
18500000,1020,Andheri East,2,1,0,18137.254901960783,6
21000000,1050,Andheri East,2,1,1,20000.0,6
36500000,1950,Andheri East,3,0,0,18717.94871794872,6
12400000,650,Andheri East,1,0,0,19076.923076923078,6
17900000,1100,Andheri East,2,0,0,16272.727272727272,6
11500000,720,Andheri East,1,1,1,15972.222222222223,6
18000000,900,Andheri East,2,1,0,20000.0,6
4800000,250,Andheri East,1,1,1,19200.0,6
10000000,475,Andheri East,1,0,0,21052.63157894737,6
19800000,1200,Andheri East,2,1,1,16500.0,6
110000000,3300,Andheri West,4,0,0,33333.333333333336,7
28500000,997,Andheri West,2,1,1,28585.757271815448,7
55000000,1950,Andheri West,3,1,1,28205.128205128207,7
220000000,7600,Andheri West,5,1,0,28947.36842105263,7
24000000,1000,Andheri West,2,0,1,24000.0,7
27000000,1361,Andheri West,2,1,0,19838.354151359294,7
31200000,1470,Andheri West,3,1,0,21224.48979591837,7
65000000,2450,Andheri West,4,1,1,26530.61224489796,7
18000000,1006,Andheri West,2,1,1,17892.644135188868,7
85000000,3733,Andheri West,4,1,1,22769.89016876507,7
119900000,3140,Andheri West,3,1,1,38184.71337579618,7
92400000,3080,Andheri West,3,1,1,30000.0,7
113400000,3780,Andheri West,4,1,1,30000.0,7
139500000,4650,Andheri West,5,1,1,30000.0,7
31500000,1470,Andheri West,3,0,0,21428.571428571428,7
35000000,1600,Andheri West,3,1,1,21875.0,7
25500000,1400,Andheri West,2,1,1,18214.285714285714,7
18500000,650,Andheri West,1,0,0,28461.53846153846,7
20000000,650,Andheri West,2,1,0,30769.23076923077,7
19700000,800,Andheri West,2,1,1,24625.0,7
18200000,750,Andheri West,2,1,1,24266.666666666668,7
17900000,750,Andheri West,2,1,1,23866.666666666668,7
29000000,1550,Andheri West,3,1,1,18709.677419354837,7
31000000,1600,Andheri West,3,1,1,19375.0,7
35000000,1600,Andheri West,3,1,1,21875.0,7
41500000,1850,Andheri West,3,1,1,22432.432432432433,7
24000000,960,Andheri West,2,1,0,25000.0,7
37000000,1600,Andheri West,3,1,0,23125.0,7
34000000,1166,Andheri West,3,1,1,29159.51972555746,7
22000000,788,Andheri West,3,0,0,27918.781725888326,7
22000000,788,Andheri West,3,1,0,27918.781725888326,7
25000000,790,Andheri West,2,1,1,31645.569620253165,7
36400000,1193,Andheri West,3,1,1,30511.316010058676,7
26500000,1250,Andheri West,2,1,0,21200.0,7
16000000,800,Andheri West,2,0,0,20000.0,7
110000000,3000,Andheri West,4,1,0,36666.666666666664,7
21700000,707,Andheri West,2,1,0,30693.069306930694,7
27799999,944,Andheri West,3,1,0,29449.151483050846,7
26000000,923,Andheri West,2,1,0,28169.014084507042,7
22200000,930,Andheri West,2,1,0,23870.967741935485,7
25200000,1250,Andheri West,2,1,0,20160.0,7
10500000,420,Andheri West,1,1,1,25000.0,7
14600000,586,Andheri West,2,1,1,24914.67576791809,7
26000000,1250,Andheri West,3,1,0,20800.0,7
67000000,2500,Andheri West,4,1,1,26800.0,7
42500000,1850,Andheri West,3,1,1,22972.972972972973,7
